Date,Open,High,Low,Close,Adj Close,Volume
2013-08-09,39.933334,40.329998,39.703335,39.946667,37.866673,234300
2013-08-12,39.903332,39.903332,39.533333,39.796665,37.724483,714000
2013-08-13,39.983334,39.983334,39.403332,39.689999,37.623367,428700
2013-08-14,39.716667,40.126667,39.716667,39.716667,37.648647,297600
2013-08-15,39.386669,39.386669,38.536667,38.646667,36.634361,1047000
2013-08-16,38.583332,38.883335,38.360001,38.376667,36.378418,1214100
2013-08-19,38.333332,38.720001,38.236668,38.263332,36.270988,896400
2013-08-20,38.273335,39.136669,38.273335,38.923332,36.896614,458100
2013-08-21,39.006664,40.009998,39.006664,39.470001,37.414829,1420800
2013-08-22,39.743336,40.009998,39.636669,39.946667,37.866673,248100
2013-08-23,40.033333,40.073334,39.506664,39.876667,37.800327,163200
2013-08-26,39.973331,41.053333,39.946667,40.770000,38.647137,1087200
2013-08-27,40.250000,40.373333,39.166668,39.206669,37.165211,986400
2013-08-28,39.326668,39.866665,39.226665,39.790001,37.718166,2103300
2013-08-29,39.873333,40.600002,39.793331,40.246666,38.151051,710100
2013-08-30,40.226665,40.236668,39.563335,39.753334,37.683414,496800
2013-09-03,40.600002,40.726665,40.149998,40.706669,38.587109,533100
2013-09-04,40.916668,41.799999,40.600002,41.746666,39.572960,541500
2013-09-05,42.040001,42.236668,41.756664,42.006664,39.819412,308400
2013-09-06,42.106667,42.366665,41.136669,42.096668,39.904724,381900
2013-09-09,42.246666,43.316666,42.246666,43.316666,41.061203,821400
2013-09-10,43.666668,43.666668,42.913334,43.266666,41.013813,1179300
2013-09-11,43.283337,43.283337,42.426666,42.740002,40.514565,998100
2013-09-12,42.826664,43.096664,42.496666,42.673336,40.451359,826500
2013-09-13,42.716663,42.809998,42.303333,42.809998,40.580917,863700
2013-09-16,43.173336,43.313335,42.610001,42.756668,40.530357,691500
2013-09-17,42.823334,43.283337,42.573334,43.223331,40.972725,603300
2013-09-18,43.330002,43.726665,42.836666,43.509998,41.244465,471300
2013-09-19,43.736668,43.826664,43.333332,43.740002,41.462502,561000
2013-09-20,43.789997,43.906666,43.279999,43.456665,41.276279,624300
2013-09-23,43.493332,43.493332,42.666668,43.196667,41.029324,406500
2013-09-24,43.240002,43.630001,42.943333,43.276669,41.105312,285900
2013-09-25,43.320004,43.419998,42.883331,42.903336,40.750710,488700
2013-09-26,42.916668,43.853333,42.916668,43.683334,41.491570,544200
2013-09-27,43.546665,44.139999,43.343334,43.730000,41.535896,575700
2013-09-30,43.009998,43.346664,42.393333,43.053333,40.893185,741000
2013-10-01,43.313335,43.943333,43.119999,43.943333,41.738529,720900
2013-10-02,43.856670,44.113331,43.666668,43.946667,41.741699,476100
2013-10-03,43.946667,44.110001,43.006668,43.490002,41.307945,666300
2013-10-04,43.596664,44.049999,43.563335,43.710003,41.516911,662100
2013-10-07,43.516666,43.523335,42.649998,42.666668,40.525913,1156500
2013-10-08,42.830002,42.830002,40.200001,40.279999,38.258999,2238000
2013-10-09,40.036667,40.060001,37.740002,38.496666,36.565136,4215600
2013-10-10,39.486668,40.223331,39.306667,40.103333,38.091190,1318500
2013-10-11,39.869999,40.020000,39.220001,39.666668,37.676445,1055100
2013-10-14,39.193333,40.003334,38.916668,39.926666,37.923393,1782600
2013-10-15,39.850002,40.316666,39.490002,39.610001,37.622612,939000
2013-10-16,40.000000,41.350002,40.000000,41.299999,39.227821,1350900
2013-10-17,41.389999,41.820000,40.896667,41.753334,39.658413,999900
2013-10-18,41.920002,42.090000,40.616665,41.020000,38.961864,1099500
2013-10-21,40.973331,41.163334,39.866665,40.056667,38.046871,2054700
2013-10-22,40.333332,40.759998,39.619999,40.613331,38.575600,1590000
